feature_ID	gene_symbol	chromosome
ENSRNOG00000000408	Gopc	20
ENSRNOG00000000410	Nepn	20
ENSRNOG00000000411	Nus1	20
ENSRNOG00000000412	Slc35f1	20
ENSRNOG00000000414	Cep85l	20
ENSRNOG00000000415	Asf1a	20
ENSRNOG00000000417	Numa1	1
ENSRNOG00000000420	Nelfe	20
ENSRNOG00000000421	Skic2	20
ENSRNOG00000000422	Dxo	20
ENSRNOG00000000428	Cyp21a1	20
ENSRNOG00000000431	Atf6b	20
ENSRNOG00000000432	Fkbpl	20
ENSRNOG00000000433	Prrt1	20
ENSRNOG00000000435	Ppt2	20
ENSRNOG00000000436	Egfl8	20
ENSRNOG00000000437	Agpat1	20
ENSRNOG00000000438	Rnf5	20
ENSRNOG00000000439	Ager	20
ENSRNOG00000000440	Pbx2	20
ENSRNOG00000000442	Notch4	20
ENSRNOG00000000446	Btnl8	20
ENSRNOG00000000451	RT1-Ba	20
ENSRNOG00000000454	RT1-DOb	20
ENSRNOG00000000455	Tap2	20
ENSRNOG00000000456	Psmb8	20
ENSRNOG00000000457	Tap1	20
ENSRNOG00000000459	Psmb9	20
ENSRNOG00000000461	Brd2	20
ENSRNOG00000000463	Col11a2	20
ENSRNOG00000000464	Rxrb	20
ENSRNOG00000000465	Slc39a7	20
ENSRNOG00000000466	Hsd17b8	20
ENSRNOG00000000467	Ring1	20
ENSRNOG00000000470	Vps52	20
ENSRNOG00000000471	Rps18	20
ENSRNOG00000000473	Pfdn6	20
ENSRNOG00000000474	Ralgdsl2	20
ENSRNOG00000000476	Zbtb22	20
ENSRNOG00000000477	Daxx	20
ENSRNOG00000000479	Kifc1	20
ENSRNOG00000000480	Phf1	20
ENSRNOG00000000481	Cuta	20
ENSRNOG00000000483	Syngap1	20
ENSRNOG00000000485	Bak1	20
ENSRNOG00000000486	Ggnbp1	20
ENSRNOG00000000487	Grm4	20
ENSRNOG00000000488	Hmga1	20
ENSRNOG00000000490	Rps10	20
ENSRNOG00000000491	Spdef	20
ENSRNOG00000000493	Snrpc	20
ENSRNOG00000000495	Bltp3a	20
ENSRNOG00000000498	Anks1a	20
ENSRNOG00000000499	Tcp11	20
ENSRNOG00000000500	Scube3	20
ENSRNOG00000000501	Zfp523	20
ENSRNOG00000000502	Def6	20
ENSRNOG00000000503	Ppard	20
ENSRNOG00000000504	Fance	20
ENSRNOG00000000505	Rpl10a	20
ENSRNOG00000000506	Tead3	20
ENSRNOG00000000507	Tulp1	20
ENSRNOG00000000508	Armc12	20
ENSRNOG00000000510	Clps	20
ENSRNOG00000000511	Srpk1	20
ENSRNOG00000000512	Slc26a8	20
ENSRNOG00000000513	Mapk14	20
ENSRNOG00000000515	Mapk13	20
ENSRNOG00000000516	Pxt1	20
ENSRNOG00000000517	Kctd20	20
ENSRNOG00000000519	Stk38	20
ENSRNOG00000000520	Srsf3	20
ENSRNOG00000000521	Cdkn1a	20
ENSRNOG00000000522	Cpne5	20
ENSRNOG00000000523	Ppil1	20
ENSRNOG00000000524	C20h6orf89	20
ENSRNOG00000000525	Pi16	20
ENSRNOG00000000527	Mtch1	20
ENSRNOG00000000528	Fgd2	20
ENSRNOG00000000529	Pim1	20
ENSRNOG00000000532	Cmtr1	20
ENSRNOG00000000536	Mdga1	20
ENSRNOG00000000540	Btbd9	20
ENSRNOG00000000541	Glo1	20
ENSRNOG00000000542	Dnah8	20
ENSRNOG00000000543	Frk	20
ENSRNOG00000000546	Nt5dc1	20
ENSRNOG00000000549	Tspyl1	20
ENSRNOG00000000551	Fam241b	20
ENSRNOG00000000552	Col13a1	20
ENSRNOG00000000556	Nodal	20
ENSRNOG00000000557	Ppa1	20
ENSRNOG00000000559	Npffr1	20
ENSRNOG00000000560	Lrrc20	20
ENSRNOG00000000561	Pald1	20
ENSRNOG00000000562	Prf1	20
ENSRNOG00000000563	Adamts14	20
ENSRNOG00000000564	Tbata	20
ENSRNOG00000000565	Sgpl1	20
ENSRNOG00000000566	Pcbd1	20
ENSRNOG00000000567	Unc5b	20
ENSRNOG00000000568	Slc29a3	20
ENSRNOG00000000569	Vsir	20
ENSRNOG00000000571	Psap	20
ENSRNOG00000000572	Chst3	20
ENSRNOG00000000576	Anapc16	20
ENSRNOG00000000579	Marcks	20
ENSRNOG00000000580	Calhm4	20
ENSRNOG00000000581	Cdc40	20
ENSRNOG00000000582	Ddo	20
ENSRNOG00000000583	Cdk19	20
ENSRNOG00000000585	Amd1	20
ENSRNOG00000000586	Gtf3c6	20
ENSRNOG00000000587	Rpf2	20
ENSRNOG00000000588	Slc16a10	20
ENSRNOG00000000589	Mfsd4b2l1	20
ENSRNOG00000000590	Naglt1	20
ENSRNOG00000000593	Rev3l	20
ENSRNOG00000000595	Traf3ip2	20
ENSRNOG00000000596	Fyn	20
ENSRNOG00000000597	Ccn6	20
ENSRNOG00000000598	Tube1	20
ENSRNOG00000000599	Lama4	20
ENSRNOG00000000604	Hdac2	20
ENSRNOG00000000605	Hs3st5	20
ENSRNOG00000000606	Pcdh15	20
ENSRNOG00000000609	Ipmk	20
ENSRNOG00000000610	Cisd1	20
ENSRNOG00000000611	Ube2d1	20
ENSRNOG00000000613	Tfam	20
ENSRNOG00000000614	Bicc1	20
ENSRNOG00000000618	Mdga2	6
ENSRNOG00000000630	Dynlt2b-ps1	20
ENSRNOG00000000632	Cdk1	20
ENSRNOG00000000633	Rhobtb1	20
ENSRNOG00000000634	Cabcoco1	20
ENSRNOG00000000635	Arid5b	20
ENSRNOG00000000638	Zfp365	20
ENSRNOG00000000640	Egr2	20
ENSRNOG00000000641	Nrbf2	20
ENSRNOG00000000645	Reep3	20
ENSRNOG00000000648	Jmjd1c	20
ENSRNOG00000000653	Nr5a2	13
ENSRNOG00000000655	Ptprc	13
ENSRNOG00000000657	Nek7	13
ENSRNOG00000000658	Acacb	12
ENSRNOG00000000661	Hps4	12
ENSRNOG00000000662	Srrd	12
ENSRNOG00000000663	Tfip11	12
ENSRNOG00000000664	Tpst2	12
ENSRNOG00000000665	Pitpnb	12
ENSRNOG00000000691	Foxn4	12
ENSRNOG00000000692	Ung	12
ENSRNOG00000000693	Svop	12
ENSRNOG00000000695	Ssh1	12
ENSRNOG00000000697	Coro1c	12
ENSRNOG00000000699	Selplg	12
ENSRNOG00000000700	Tmem119	12
ENSRNOG00000000701	Iscu	12
ENSRNOG00000000702	Sart3	12
ENSRNOG00000000704	Cmklr1	12
ENSRNOG00000000708	Sgsm1	12
ENSRNOG00000000713	AABR07033045.1	11
ENSRNOG00000000715	Pou1f1	11
ENSRNOG00000000716	Htr1f	11
ENSRNOG00000000718	Cggbp1	11
ENSRNOG00000000720	C11h3orf38	11
ENSRNOG00000000726	Or2j3	20
ENSRNOG00000000728	Clic2	20
ENSRNOG00000000729	Tmlhe	20
ENSRNOG00000000759	Or5v1b	20
ENSRNOG00000000763	RT1-M3-1	20
ENSRNOG00000000765	Or11a4	20
ENSRNOG00000000767	AC112568.1	20
ENSRNOG00000000774	Gabbr1	20
ENSRNOG00000000779	Polr1h	20
ENSRNOG00000000781	Rnf39	20
ENSRNOG00000000782	Trim10	20
ENSRNOG00000000783	Trim40	20
ENSRNOG00000000785	Trim39	20
ENSRNOG00000000786	Rpp21	20
ENSRNOG00000000795	RT1-N3	20
ENSRNOG00000000796	Ranbp2	20
ENSRNOG00000000798	Gnl1	20
ENSRNOG00000000799	Abcf1	20
ENSRNOG00000000800	Man1a1	20
ENSRNOG00000000801	Msl3l2	20
ENSRNOG00000000802	Tbc1d32	20
ENSRNOG00000000804	Mrps18b	20
ENSRNOG00000000805	Gja1	20
ENSRNOG00000000808	Hsf2	20
ENSRNOG00000000809	Atat1	20
ENSRNOG00000000811	Pkib	20
ENSRNOG00000000814	Fabp7	20
ENSRNOG00000000823	Gcc2	20
ENSRNOG00000000824	Dse	20
ENSRNOG00000000825	Calhm5	20
ENSRNOG00000000826	Flot1	20
ENSRNOG00000000827	Ier3	20
ENSRNOG00000000831	Gtf2h4	20
ENSRNOG00000000833	Vars2	20
ENSRNOG00000000838	Lta	20
ENSRNOG00000000839	Nfkbil1	20
ENSRNOG00000000840	Atp6v1g2	20
ENSRNOG00000000841	Ddx39b	20
ENSRNOG00000000842	Ddah2	20
ENSRNOG00000000846	Ly6g5c	20
ENSRNOG00000000847	Csnk2b	20
ENSRNOG00000000848	Gpank1	20
ENSRNOG00000000850	Apom	20
ENSRNOG00000000851	Bag6	20
ENSRNOG00000000852	Prrc2a	20
ENSRNOG00000000853	Aif1	20
ENSRNOG00000000854	Ncr3	20
ENSRNOG00000000855	Lst1	20
ENSRNOG00000000857	Msh5	20
ENSRNOG00000000858	Sapcd1	20
ENSRNOG00000000860	Vwa7	20
ENSRNOG00000000861	Zic3	X
ENSRNOG00000000866	Rbmx	X
ENSRNOG00000000867	Vars1	20
ENSRNOG00000000869	Arhgef6	X
ENSRNOG00000000871	Cd40lg	X
ENSRNOG00000000873	Brs3	X
ENSRNOG00000000875	Fhl1	X
ENSRNOG00000000878	Slc44a4	20
ENSRNOG00000000879	Slc9a6	X
ENSRNOG00000000885	Auts2	12
ENSRNOG00000000888	Sbds	12
ENSRNOG00000000889	Ralbp1l1	12
ENSRNOG00000000893	Tmem248	12
ENSRNOG00000000894	Fry	12
ENSRNOG00000000895	Rabgef1	12
ENSRNOG00000000897	Rxfp2	12
ENSRNOG00000000900	Tpst1	12
ENSRNOG00000000902	Hsph1	12
ENSRNOG00000000903	Asl	12
ENSRNOG00000000904	Wdr95	12
ENSRNOG00000000905	Tex26	12
ENSRNOG00000000906	Medag	12
ENSRNOG00000000907	Alox5ap	12
ENSRNOG00000000909	Uspl1	12
ENSRNOG00000000913	Gusb	12
ENSRNOG00000000918	Zbed5	12
ENSRNOG00000000920	Phkg1	12
ENSRNOG00000000921	Ubl3	12
ENSRNOG00000000922	Sumf2	12
ENSRNOG00000000923	Cct6a	12
ENSRNOG00000000924	Slc7a1	12
ENSRNOG00000000925	Psph	12
ENSRNOG00000000931	Sfswap	12
ENSRNOG00000000934	Piwil1	12
ENSRNOG00000000936	Stx2	12
ENSRNOG00000000937	Slc46a3	12
ENSRNOG00000000938	Ran	12
ENSRNOG00000000940	Flt1	12
ENSRNOG00000000942	Pan3	12
ENSRNOG00000000952	Gsx1	12
ENSRNOG00000000954	Polr1d	12
ENSRNOG00000000955	Lnx2	12
ENSRNOG00000000956	Rasl11a	12
ENSRNOG00000000957	Rpl21	12
ENSRNOG00000000961	Glt1d1	12
ENSRNOG00000000962	Slc15a4	12
ENSRNOG00000000963	Tmem132c	12
ENSRNOG00000000964	Frg1-ps1	12
ENSRNOG00000000967	Aacs	12
ENSRNOG00000000968	Rnf6	12
ENSRNOG00000000969	Cyp3a18	12
ENSRNOG00000000973	Saxo5	12
ENSRNOG00000000974	Zfp358	12
ENSRNOG00000000975	Mcoln1	12
ENSRNOG00000000977	Pnpla6	12
ENSRNOG00000000978	Cyp3a73	12
ENSRNOG00000000981	Scarb1	12
ENSRNOG00000000985	Cpsf4	12
ENSRNOG00000000986	Camsap3	12
ENSRNOG00000000987	Ptcd1	12
ENSRNOG00000000988	Xab2	12
ENSRNOG00000000989	Bud31	12
ENSRNOG00000000990	Pdap1	12
ENSRNOG00000000991	Arpc1b	12
ENSRNOG00000000993	Pcp2	12
ENSRNOG00000000994	Stxbp2	12
ENSRNOG00000000996	Arpc1a	12
ENSRNOG00000000999	Smurf1	12
ENSRNOG00000001001	Retn	12
ENSRNOG00000001003	Trappc5	12
ENSRNOG00000001004	Ncor2	12
ENSRNOG00000001005	Fcer2	12
ENSRNOG00000001006	Nptx2	12
ENSRNOG00000001007	Baiap2l1	12
ENSRNOG00000001009	Bri3	12
ENSRNOG00000001010	Tecpr1	12
ENSRNOG00000001017	Cd209d	12
ENSRNOG00000001027	Cd209fl1	12
ENSRNOG00000001030	Tsc22d1	15
ENSRNOG00000001031	Ocm	12
ENSRNOG00000001032	Ccz1	12
ENSRNOG00000001033	Nufip1	15
ENSRNOG00000001034	Evi5l	12
ENSRNOG00000001035	Gtf2h3	12
ENSRNOG00000001036	Rsph10b	12
ENSRNOG00000001037	Gpalpp1	15
ENSRNOG00000001039	Eif2b1	12
ENSRNOG00000001040	Pms2	12
ENSRNOG00000001043	Ddx55	12
ENSRNOG00000001044	Aimp2	12
ENSRNOG00000001047	Map2k7	12
ENSRNOG00000001048	Ankrd61	12
ENSRNOG00000001049	Tpt1l2	15
ENSRNOG00000001050	Eif2ak1	12
ENSRNOG00000001052	Slc25a30	15
ENSRNOG00000001053	Tmed2	12
ENSRNOG00000001055	Rilpl1	12
ENSRNOG00000001056	Snapc2	12
ENSRNOG00000001058	Timm44	12
ENSRNOG00000001059	Usp42	12
ENSRNOG00000001060	Snrnp35	12
ENSRNOG00000001061	Rilpl2	12
ENSRNOG00000001064	Sbno1	12
ENSRNOG00000001065	Cyth3	12
ENSRNOG00000001066	Itih2	17
ENSRNOG00000001068	Rac1	12
ENSRNOG00000001069	Elavl1	12
ENSRNOG00000001070	Cdk2ap1	12
ENSRNOG00000001071	AABR07035091.1	12
ENSRNOG00000001072	Cers4	12
ENSRNOG00000001073	Mtrfr	12
ENSRNOG00000001074	Mphosph9	12
ENSRNOG00000001079	Daglb	12
ENSRNOG00000001080	Arl6ip4	12
ENSRNOG00000001081	Ogfod2	12
ENSRNOG00000001082	Abcb9	12
ENSRNOG00000001083	Kdelr2	12
ENSRNOG00000001086	Vps37b	12
ENSRNOG00000001088	Rfc3	12
ENSRNOG00000001090	Stard13	12
ENSRNOG00000001091	Hip1r	12
ENSRNOG00000001092	Kl	12
ENSRNOG00000001094	Zfp316	12
ENSRNOG00000001098	Pds5b	12
ENSRNOG00000001099	Rbak	12
ENSRNOG00000001101	Rnf216	12
ENSRNOG00000001103	Sdk1	12
ENSRNOG00000001104	Foxk1	12
ENSRNOG00000001106	Denr	12
ENSRNOG00000001108	N4bp2l2	12
ENSRNOG00000001111	Brca2	12
ENSRNOG00000001113	Mmd2	12
ENSRNOG00000001114	Wipi2	12
ENSRNOG00000001115	Slc29a4	12
ENSRNOG00000001117	Fbxl18	12
ENSRNOG00000001120	Med13l	12
ENSRNOG00000001123	Spring1	12
ENSRNOG00000001124	Rnft2	12
ENSRNOG00000001126	Fbxw8	12
ENSRNOG00000001128	Tesc	12
ENSRNOG00000001129	Fbxo21	12
ENSRNOG00000001130	Nos1	12
ENSRNOG00000001134	Rfc5	12
ENSRNOG00000001135	Wsb2	12
ENSRNOG00000001136	Pebp1	12
ENSRNOG00000001138	Taok3	12
ENSRNOG00000001139	Suds3	12
ENSRNOG00000001141	Srrm4	12
ENSRNOG00000001142	Prkab1	12
ENSRNOG00000001143	Cit	12
ENSRNOG00000001148	Rplp0	12
ENSRNOG00000001149	Pxn	12
ENSRNOG00000001151	Sirt4	12
ENSRNOG00000001152	Glp1r	20
ENSRNOG00000001153	Pla2g1b	12
ENSRNOG00000001156	Msi1	12
ENSRNOG00000001157	Umodl1	20
ENSRNOG00000001158	Abcg1	20
ENSRNOG00000001159	Tff3	20
ENSRNOG00000001160	Triap1	12
ENSRNOG00000001162	Tff2	20
ENSRNOG00000001163	Srsf9	12
ENSRNOG00000001164	Tff1	20
ENSRNOG00000001165	Tmprss3	20
ENSRNOG00000001167	Ubash3a	20
ENSRNOG00000001169	Slc37a1	20
ENSRNOG00000001170	Cox6a1	12
ENSRNOG00000001171	Coq5	12
ENSRNOG00000001172	Rnf10	12
ENSRNOG00000001173	Cabp1	12
ENSRNOG00000001174	Pde9a	20
ENSRNOG00000001177	Acads	12
ENSRNOG00000001178	Sppl3	12
ENSRNOG00000001181	Wdr4	20
ENSRNOG00000001182	Ndufv3	20
ENSRNOG00000001183	Hnf1a	12
ENSRNOG00000001184	Pknox1	20
ENSRNOG00000001185	C12h12orf43	12
ENSRNOG00000001187	Oasl	12
ENSRNOG00000001189	Sik1	20
ENSRNOG00000001190	Git2	12
ENSRNOG00000001191	Tchp	12
ENSRNOG00000001192	Gltp	12
ENSRNOG00000001193	Hsf2bp	20
ENSRNOG00000001194	Rrp1b	20
ENSRNOG00000001195	Trpv4	12
ENSRNOG00000001198	Fam222a	12
ENSRNOG00000001199	Pop5	12
ENSRNOG00000001201	Cstb	20
ENSRNOG00000001203	Rrp1	20
ENSRNOG00000001204	Ankrd13a	12
ENSRNOG00000001205	Agpat3	20
ENSRNOG00000001210	Pwp2	20
ENSRNOG00000001211	Gatd3a	20
ENSRNOG00000001212	Dnmt3l	20
ENSRNOG00000001213	Aire	20
ENSRNOG00000001214	Pfkl	20
ENSRNOG00000001215	Cfap410	20
ENSRNOG00000001216	Trpm2	20
ENSRNOG00000001217	Lrrc3	20
ENSRNOG00000001218	Krtap10-8l1	20
ENSRNOG00000001219	Tspear	20
ENSRNOG00000001222	Ube2g2	20
ENSRNOG00000001223	Pttg1ip	20
ENSRNOG00000001224	Itgb2	20
ENSRNOG00000001225	Slx9	20
ENSRNOG00000001226	Nme2	20
ENSRNOG00000001227	Adarb1	20
ENSRNOG00000001228	Pofut2	20
ENSRNOG00000001229	Col18a1	20
ENSRNOG00000001232	Slc19a1	20
ENSRNOG00000001235	Gna12	12
ENSRNOG00000001236	Brat1	12
ENSRNOG00000001237	Cabin1	20
ENSRNOG00000001238	Rsrc2	12
ENSRNOG00000001241	Iqce	12
ENSRNOG00000001242	Gstt3	20
ENSRNOG00000001243	Zcchc8	12
ENSRNOG00000001245	Pcbp3	20
ENSRNOG00000001247	Clip1	12
ENSRNOG00000001249	Col6a1	20
ENSRNOG00000001250	Lfng	12
ENSRNOG00000001251	Grifin	12
ENSRNOG00000001252	Chst12	12
ENSRNOG00000001253	Eif3b	12
ENSRNOG00000001254	Col6a2	20
ENSRNOG00000001255	Mlxip	12
ENSRNOG00000001256	Atxn2	12
ENSRNOG00000001258	Snx8	12
ENSRNOG00000001259	Cux2	12
ENSRNOG00000001260	Nudt1	12
ENSRNOG00000001261	Ftcd	20
ENSRNOG00000001265	Mad1l1	12
ENSRNOG00000001269	Ppp1cc	12
ENSRNOG00000001270	Hvcn1	12
ENSRNOG00000001271	Card6	2
ENSRNOG00000001272	Mcm3ap	20
ENSRNOG00000001273	Psmg3	12
ENSRNOG00000001274	Vps29	12
ENSRNOG00000001275	Tmem184a	12
ENSRNOG00000001276	Pcnt	20
ENSRNOG00000001278	Gpn3	12
ENSRNOG00000001283	Anapc7	12
ENSRNOG00000001284	Uncx	12
ENSRNOG00000001285	Atp2a2	12
ENSRNOG00000001287	Gper1	12
ENSRNOG00000001288	Gpr146	12
ENSRNOG00000001289	C12h7orf50	12
ENSRNOG00000001294	Ift81	12
ENSRNOG00000001295	S100b	20
ENSRNOG00000001296	P2rx7	12
ENSRNOG00000001297	Prmt2	20
ENSRNOG00000001298	Slc5a4b	20
ENSRNOG00000001299	Sun1	12
ENSRNOG00000001300	P2rx4	12
ENSRNOG00000001302	Adora2a	20
ENSRNOG00000001303	Specc1l	20
ENSRNOG00000001304	Bcr	20
ENSRNOG00000001309	Camkk2	12
ENSRNOG00000001311	Rab36	20
ENSRNOG00000001312	Pdgfa	12
ENSRNOG00000001313	Gnaz	20
ENSRNOG00000001314	Fam20c	12
ENSRNOG00000001315	Rsph14	20
ENSRNOG00000001316	Anapc5	12
ENSRNOG00000001317	Zfp68	12
ENSRNOG00000001323	Zfp157	12
ENSRNOG00000001324	Asmt	12
ENSRNOG00000001325	Il3ra	12
ENSRNOG00000001329	Gjc3	12
ENSRNOG00000001331	Rnf34	12
ENSRNOG00000001333	Azgp1	12
ENSRNOG00000001335	Zkscan1	12
ENSRNOG00000001336	Orai1	12
ENSRNOG00000001337	Setd1b	12
ENSRNOG00000001338	Hpd	12
ENSRNOG00000001342	Cfap251	12
ENSRNOG00000001345	Mapkapk5	12
ENSRNOG00000001346	Cops6	12
ENSRNOG00000001347	Adam1a	12
ENSRNOG00000001348	Erp29	12
ENSRNOG00000001349	Mcm7	12
ENSRNOG00000001350	Naa25	12
ENSRNOG00000001351	Trafd1	12
ENSRNOG00000001352	Hectd4	12
ENSRNOG00000001353	Ap4m1	12
ENSRNOG00000001355	Taf6	12
ENSRNOG00000001360	Stag3	12
ENSRNOG00000001367	Gpc2	12
ENSRNOG00000001368	Rph3a	12
ENSRNOG00000001369	Oas1a	12
ENSRNOG00000001374	Rasal1	12
ENSRNOG00000001375	Gal3st4	12
ENSRNOG00000001376	Tmt1a	7
ENSRNOG00000001377	Iqcd	12
ENSRNOG00000001379	Cyp3a62	12
ENSRNOG00000001383	Slc8b1	12
ENSRNOG00000001385	Plbd2	12
ENSRNOG00000001387	Mepce	12
ENSRNOG00000001388	Sds	12
ENSRNOG00000001389	Irs3	12
ENSRNOG00000001391	Sdsl	12
ENSRNOG00000001392	Lhx5	12
ENSRNOG00000001396	Mospd3	12
ENSRNOG00000001397	Rbm19	12
ENSRNOG00000001399	Tbx5	12
ENSRNOG00000001402	Lrch4	12
ENSRNOG00000001404	Agfg2	12
ENSRNOG00000001407	Tfr2	12
ENSRNOG00000001408	Actl6b	12
ENSRNOG00000001409	Gnb2	12
ENSRNOG00000001410	Gigyf1	12
ENSRNOG00000001412	Epo	12
ENSRNOG00000001414	Serpine1	12
ENSRNOG00000001415	Ap1s1	12
ENSRNOG00000001416	Vgf	12
ENSRNOG00000001417	Plod3	12
ENSRNOG00000001418	Znhit1	12
ENSRNOG00000001419	Cldn15	12
ENSRNOG00000001420	Fis1	12
ENSRNOG00000001422	Col26a1	12
ENSRNOG00000001424	Cux1	12
ENSRNOG00000001425	Sh2b2	12
ENSRNOG00000001427	Orai2	12
ENSRNOG00000001428	Alkbh4	12
ENSRNOG00000001429	Lrwd1	12
ENSRNOG00000001430	Polr2j	12
ENSRNOG00000001431	Rasa4	12
ENSRNOG00000001432	Dtx2	12
ENSRNOG00000001434	Zp3	12
ENSRNOG00000001435	Ssc4d	12
ENSRNOG00000001436	Ywhag	12
ENSRNOG00000001439	Srrm3	12
ENSRNOG00000001440	Mdh2	12
ENSRNOG00000001441	Tmem120a	12
ENSRNOG00000001442	Por	12
ENSRNOG00000001443	Rhbdd2	12
ENSRNOG00000001448	Hip1	12
